ds,y
1/1/2006,"130,695"
2/1/2006,"138,428"
3/1/2006,"167,439"
4/1/2006,"163,272"
5/1/2006,"133,902"
6/1/2006,"158,425"
7/1/2006,"180,015"
8/1/2006,"141,631"
9/1/2006,"80,397"
10/1/2006,"94,351"
11/1/2006,"121,916"
12/1/2006,"168,434"
1/1/2007,"129,756"
2/1/2007,"132,949"
3/1/2007,"164,547"
4/1/2007,"150,561"
5/1/2007,"132,044"
6/1/2007,"156,450"
7/1/2007,"195,409"
8/1/2007,"136,660"
9/1/2007,"89,704"
10/1/2007,"108,205"
11/1/2007,"124,474"
12/1/2007,"180,026"
1/1/2008,"142,861"
2/1/2008,"156,831"
3/1/2008,"184,267"
4/1/2008,"152,199"
5/1/2008,"141,236"
6/1/2008,"161,958"
7/1/2008,"185,447"
8/1/2008,"142,467"
9/1/2008,"92,037"
10/1/2008,"106,104"
11/1/2008,"122,250"
12/1/2008,"179,614"
1/1/2009,"148,886"
2/1/2009,"160,282"
3/1/2009,"175,929"
4/1/2009,"164,090"
5/1/2009,"153,443"
6/1/2009,"168,561"
7/1/2009,"195,940"
8/1/2009,"152,573"
9/1/2009,"95,263"
10/1/2009,"108,820"
11/1/2009,"125,494"
12/1/2009,"181,816"
1/1/2010,"161,094"
2/1/2010,"167,462"
3/1/2010,"201,378"
4/1/2010,"166,955"
5/1/2010,"149,775"
6/1/2010,"164,205"
7/1/2010,"204,526"
8/1/2010,"159,408"
9/1/2010,"97,010"
10/1/2010,"114,699"
11/1/2010,"134,320"
12/1/2010,"200,846"
1/1/2011,"174,144"
2/1/2011,"175,114"
3/1/2011,"204,046"
4/1/2011,"179,444"
5/1/2011,"146,583"
6/1/2011,"166,545"
7/1/2011,"202,493"
8/1/2011,"155,133"
9/1/2011,"98,280"
10/1/2011,"112,536"
11/1/2011,"139,721"
12/1/2011,"197,713"
1/1/2012,"169,355"
2/1/2012,"180,595"
3/1/2012,"204,724"
4/1/2012,"180,511"
5/1/2012,"157,233"
6/1/2012,"179,814"
7/1/2012,"209,824"
8/1/2012,"157,863"
9/1/2012,"104,360"
10/1/2012,"111,253"
11/1/2012,"138,395"
12/1/2012,"192,158"
1/1/2013,"161,455"
2/1/2013,"166,010"
3/1/2013,"213,109"
4/1/2013,"171,630"
5/1/2013,"160,785"
6/1/2013,"186,481"
7/1/2013,"205,655"
8/1/2013,"164,336"
9/1/2013,"105,426"
10/1/2013,"123,663"
11/1/2013,"148,512"
12/1/2013,"201,347"
1/1/2014,"169,280"
2/1/2014,"169,328"
3/1/2014,"200,732"
4/1/2014,"181,664"
5/1/2014,"166,249"
6/1/2014,"187,083"
7/1/2014,"221,006"
8/1/2014,"171,486"
9/1/2014,"106,757"
10/1/2014,"135,730"
11/1/2014,"157,737"
12/1/2014,"213,129"
1/1/2015,"176,621"
2/1/2015,"177,805"
3/1/2015,"212,134"
4/1/2015,"189,903"
5/1/2015,"168,347"
6/1/2015,"182,364"
7/1/2015,"220,662"
8/1/2015,"169,063"
9/1/2015,"114,280"
10/1/2015,"134,317"
11/1/2015,"158,450"
12/1/2015,"219,096"
1/1/2016,"179,559"
2/1/2016,"185,272"
3/1/2016,"219,673"
4/1/2016,"188,604"
5/1/2016,"167,884"
6/1/2016,"194,088"
7/1/2016,"228,169"
8/1/2016,"169,023"
9/1/2016,"120,340"
10/1/2016,"135,467"
11/1/2016,"163,152"
12/1/2016,"230,453"
1/1/2017,"185,873"
2/1/2017,"186,670"
3/1/2017,"212,600"
4/1/2017,"205,822"
5/1/2017,"181,669"
6/1/2017,"211,119"
7/1/2017,"248,626"
8/1/2017,"192,878"
9/1/2017,"131,416"
10/1/2017,"157,380"
11/1/2017,"187,062"
12/1/2017,"251,800"
1/1/2018,"194,609"
2/1/2018,"193,575"
3/1/2018,"236,818"
4/1/2018,"204,734"
5/1/2018,"195,491"
6/1/2018,"229,261"
7/1/2018,"257,050"
8/1/2018,"206,034"
9/1/2018,"134,910"
10/1/2018,"162,552"
11/1/2018,"196,546"
12/1/2018,"261,147"
1/1/2019,"216,509"
2/1/2019,"220,046"
3/1/2019,"271,742"
4/1/2019,"232,834"
5/1/2019,"210,664"
6/1/2019,"238,888"
7/1/2019,"270,462"
8/1/2019,"214,780"
9/1/2019,"144,583"
10/1/2019,"176,514"
11/1/2019,"202,783"
12/1/2019,"281,115"
1/1/2020,"227,200"
2/1/2020,"235,740"
3/1/2020,"111,191"
4/1/2020, -   
5/1/2020, -   
6/1/2020,"7,188"
7/1/2020,"41,941"
8/1/2020,"43,813"
9/1/2020,"28,648"
10/1/2020,"45,106"
11/1/2020,"49,413"
12/1/2020,"90,164"
1/1/2021,"43,831"
2/1/2021,"43,798"
3/1/2021,"73,646"
4/1/2021,"82,702"
5/1/2021,"122,522"
6/1/2021,"166,046"
7/1/2021,"183,676"
8/1/2021,"153,560"
9/1/2021,"100,654"
10/1/2021,"118,534"
11/1/2021,"152,097"
12/1/2021,"223,333"
1/1/2022,"131,730"
2/1/2022,"162,882"
3/1/2022,"215,789"
