Arrival Month Year,Visitor Arrivals
1-1-2008,885290
2-1-2008,813028
3-1-2008,910635
4-1-2008,829438
5-1-2008,833604
6-1-2008,822954
7-1-2008,922569
8-1-2008,850016
9-1-2008,745794
10-1-2008,849400
11-1-2008,765325
12-1-2008,888001
1-1-2009,772138
2-1-2009,689935
3-1-2009,791236
4-1-2009,778975
5-1-2009,726391
6-1-2009,750404
7-1-2009,882107
8-1-2009,844649
9-1-2009,799496
10-1-2009,844953
11-1-2009,830173
12-1-2009,972233
1-1-2010,908495
2-1-2010,857387
3-1-2010,928903
4-1-2010,939013
5-1-2010,946676
6-1-2010,951032
7-1-2010,1095047
8-1-2010,996899
9-1-2010,947585
10-1-2010,978913
11-1-2010,964170
12-1-2010,1127581
1-1-2011,1055990
2-1-2011,990118
3-1-2011,1071960
4-1-2011,1103320
5-1-2011,1054104
6-1-2011,1080066
7-1-2011,1273870
8-1-2011,1178511
9-1-2011,1033747
10-1-2011,1085193
11-1-2011,1027787
12-1-2011,1216637
1-1-2012,1198507
2-1-2012,1134554
3-1-2012,1243133
4-1-2012,1201953
5-1-2012,1146448
6-1-2012,1157739
7-1-2012,1283611
8-1-2012,1313604
9-1-2012,1051348
10-1-2012,1192580
11-1-2012,1212079
12-1-2012,1360536
1-1-2013,1291718
2-1-2013,1221365
3-1-2013,1368891
4-1-2013,1274246
5-1-2013,1288282
6-1-2013,1288950
7-1-2013,1419657
8-1-2013,1483520
9-1-2013,1176142
10-1-2013,1203746
11-1-2013,1184002
12-1-2013,1367404
1-1-2014,1345842
2-1-2014,1238239
3-1-2014,1297551
4-1-2014,1245307
5-1-2014,1208532
6-1-2014,1181422
7-1-2014,1408400
8-1-2014,1362935
9-1-2014,1098626
10-1-2014,1203527
11-1-2014,1144230
12-1-2014,1360541
1-1-2015,1252608
2-1-2015,1188818
3-1-2015,1201648
4-1-2015,1208624
5-1-2015,1222836
6-1-2015,1184747
7-1-2015,1519233
8-1-2015,1445062
9-1-2015,1131976
10-1-2015,1246947
11-1-2015,1203992
12-1-2015,1424978
1-1-2016,1412123
2-1-2016,1335097
3-1-2016,1406607
4-1-2016,1393972
5-1-2016,1357543
6-1-2016,1270531
7-1-2016,1622405
8-1-2016,1481876
9-1-2016,1144063
10-1-2016,1237675
11-1-2016,1235433
12-1-2016,1506134
1-1-2017,1480479
2-1-2017,1361010
3-1-2017,1480161
4-1-2017,1470750
5-1-2017,1363897
6-1-2017,1387601
7-1-2017,1632135
8-1-2017,1559283
9-1-2017,1320050
10-1-2017,1402299
11-1-2017,1397330
12-1-2017,1569616
1-1-2018,1563359
2-1-2018,1491970
3-1-2018,1584406
4-1-2018,1544248
5-1-2018,1470891
6-1-2018,1544679
7-1-2018,1732896
8-1-2018,1683122
9-1-2018,1415149
10-1-2018,1467380
11-1-2018,1406985
12-1-2018,1603217
1-1-2019,1624593
2-1-2019,1499051
3-1-2019,1564664
4-1-2019,1596724
5-1-2019,1487791
6-1-2019,1551847
7-1-2019,1802593
8-1-2019,1736102
9-1-2019,1463543
10-1-2019,1530479
11-1-2019,1533668
12-1-2019,1724961
1-1-2020,1688102
2-1-2020,732966
3-1-2020,240001
4-1-2020,750
5-1-2020,880
6-1-2020,2171
7-1-2020,6843
8-1-2020,8912
9-1-2020,9500
10-1-2020,13399
11-1-2020,14749
12-1-2020,24170
1-1-2021,23366
2-1-2021,18141
3-1-2021,27202
4-1-2021,25737
5-1-2021,14190
6-1-2021,10029
7-1-2021,18517
8-1-2021,15879
9-1-2021,18997
10-1-2021,23979
11-1-2021,41153
12-1-2021,92795
1-1-2022,57167
2-1-2022,67760
3-1-2022,121197
4-1-2022,295095
5-1-2022,418310
